id,name,popularity,preview_url,link,duration_ms,album_id,album_name,release_date,album_img_64,album_img_300,artist_id,artist_name,followers,genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
6ZANrVuAMp2rpjhfbOuJly,Same Old Love,67,,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly,229080,3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe),2015-10-09,https://i.scdn.co/image/ab67616d000048516bc7473df6c9d1fd90972e84,https://i.scdn.co/image/ab67616d00001e026bc7473df6c9d1fd90972e84,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,23763005,dance pop,86,0.672,0.593,11,-4.01,0.0304,0.0223,0,0.214,0.438,98.02,2015
5XfywqPX6XBOdYQNbOaQvy,Good For You,61,,https://open.spotify.com/track/5XfywqPX6XBOdYQNbOaQvy,221560,7FbUyvtDTsoGMhTlGOtv5q,Good For You,2015-08-07,https://i.scdn.co/image/ab67616d00004851aad6fe0c229e8272edbce251,https://i.scdn.co/image/ab67616d00001e02aad6fe0c229e8272edbce251,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,23763005,dance pop,86,0.605,0.678,5,-6.48,0.0511,0.179,0,0.0878,0.212,88.967,2015
4a32Q7bRtWDGSEMbyWKIlj,Me & The Rhythm,54,,https://open.spotify.com/track/4a32Q7bRtWDGSEMbyWKIlj,213426,3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe),2015-10-09,https://i.scdn.co/image/ab67616d000048516bc7473df6c9d1fd90972e84,https://i.scdn.co/image/ab67616d00001e026bc7473df6c9d1fd90972e84,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,23763005,dance pop,86,0.711,0.736,7,-5.959,0.104,0.00315,0.000637,0.0731,0.717,106.01,2015
2dRvMEW4EwySxRUtEamSfG,The Heart Wants What It Wants,62,,https://open.spotify.com/track/2dRvMEW4EwySxRUtEamSfG,227360,78GeZ5IA1KSbI0MiR4bAhH,For You,2014-11-24,https://i.scdn.co/image/ab67616d000048515d9126f72b4a06c9b9abe2e5,https://i.scdn.co/image/ab67616d00001e025d9126f72b4a06c9b9abe2e5,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,23763005,dance pop,86,0.616,0.789,7,-4.874,0.0377,0.053,0,0.142,0.621,83.066,2014
6rmXhRIemCTPyMYZRDN7Qg,Black Magic,77,https://p.scdn.co/mp3-preview/02c610333ff611955b2169515911320854423108?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/6rmXhRIemCTPyMYZRDN7Qg,211786,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06,https://i.scdn.co/image/ab67616d00004851995994477ea1ae8097978bf8,https://i.scdn.co/image/ab67616d00001e02995994477ea1ae8097978bf8,3e7awlrlDSwF3iM0WBjGMp,Little Mix,8326807,dance pop,85,0.776,0.875,4,-5.535,0.0575,0.0343,0,0.314,0.849,111.988,2015
6L2uVVPJA9WcDc7zCZ4DHN,Love Me Like You,68,https://p.scdn.co/mp3-preview/928593bffe21d57ac770804f027ab80ad3f85588?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/6L2uVVPJA9WcDc7zCZ4DHN,197786,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06,https://i.scdn.co/image/ab67616d00004851995994477ea1ae8097978bf8,https://i.scdn.co/image/ab67616d00001e02995994477ea1ae8097978bf8,3e7awlrlDSwF3iM0WBjGMp,Little Mix,8326807,dance pop,85,0.783,0.63,7,-4.985,0.044,0.211,0,0.3,0.822,106.053,2015
7jDOx9VTvxq0S9z8RjQ7lv,Should’ve Been Us,46,,https://open.spotify.com/track/7jDOx9VTvxq0S9z8RjQ7lv,186478,6Q7yIbfFPzplTCBM7d1WRO,Unbreakable Smile,2015-10-16,https://i.scdn.co/image/ab67616d00004851a35da6985cf1988ef7c519cf,https://i.scdn.co/image/ab67616d00001e02a35da6985cf1988ef7c519cf,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,1834071,dance pop,74,0.65,0.766,6,-5.443,0.119,0.00408,6.69e-06,0.0759,0.467,89.974,2015
34fkQYZUIXOsI2xNxEZbTO,Nobody Love,42,,https://open.spotify.com/track/34fkQYZUIXOsI2xNxEZbTO,203457,6Q7yIbfFPzplTCBM7d1WRO,Unbreakable Smile,2015-10-16,https://i.scdn.co/image/ab67616d00004851a35da6985cf1988ef7c519cf,https://i.scdn.co/image/ab67616d00001e02a35da6985cf1988ef7c519cf,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,1834071,dance pop,74,0.754,0.716,1,-5.141,0.0349,0.00606,0.000898,0.0971,0.571,99.976,2015
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,79,,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,213520,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.705,0.769,9,-5.526,0.0425,0.113,0,0.105,0.583,107.949,2015
7fBv7CLKzipRk6EC6TWHOB,The Hills,84,,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,242253,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.585,0.564,0,-7.063,0.0515,0.0671,0,0.135,0.137,113.003,2015
